"IQ_self" "IQ_friend" "harmony" "VI_self" "VI_partner" "distance" "age" "int" "liking"
"61" 113 112 3.5 3 3 3 21 2 3
"62" 113 122 5 6 5 5 34 3 4
"63" 113 114 5 2 5 4 46 4 5
"64" 114 107 4.5 5 6 2 30 2 5
"65" 109 116 3.5 5 4 4 45 1 5
"66" 115 100 1.5 6 5 5 31 3 4
"67" 107 107 3.5 5 5 4 47 3 5
"68" 120 126 3.5 5 4 5 74 1 6
"69" 114 112 4 5 4 6 25 2 3
"70" 116 108 3.5 4 4 3 35 3 3
"71" 115 116 4.5 5 6 6 39 4 5
"72" 118 107 2 3 4 4 18 3 4
"73" 123 119 3.5 4 4 6 20 3 3
"74" 113 116 4 4 4 3 28 2 4
"75" 114 110 5.5 2 2 4 22 6 4
"76" 111 109 2 4 6 4 34 4 5
"77" 118 116 4 3 2 4 45 7 3
"78" 116 110 3.5 4 4 3 24 1 4
"79" 111 113 4.5 4 4 3 46 2 5
"80" 120 120 3.5 5 4 4 27 3 4
"81" 127 126 4.5 4 3 6 33 2 4
"82" 118 107 4 5 3 4 52 3 5
"83" 105 108 2.5 4 3 4 57 3 6
"84" 117 119 4.5 3 2 4 26 2 4
"85" 111 113 2 4 4 4 49 3 5
"86" 118 112 4.5 4 3 6 54 2 3
"87" 120 119 3.5 2 4 4 61 3 3
"88" 124 121 4 3 3 4 31 2 3
"89" 105 113 3.5 3 4 4 36 2 4
"90" 110 120 3.5 5 4 2 65 2 3
"91" 117 122 2.5 3 3 4 54 3 5
"92" 117 120 2.5 5 5 3 28 3 2
"93" 121 116 3.5 6 5 6 27 7 4
"94" 115 115 2.5 3 3 6 24 2 4
"95" 107 114 4.5 4 5 4 42 4 5
"96" 110 115 3.5 5 4 5 45 4 5
"97" 117 115 2 4 3 3 35 4 4
"98" 109 113 3.5 4 5 5 22 5 4
"99" 117 114 5 4 4 3 23 6 4
"100" 112 110 3 4 5 4 39 3 5
"101" 118 118 3.5 5 5 3 32 5 4
"102" 112 115 5.5 5 4 3 92 3 3
"103" 110 109 4.5 4 4 3 47 5 5
"104" 114 121 4.5 6 5 3 31 1 4
"105" 120 120 3.5 5 6 4 26 2 4
"106" 121 117 4 5 6 2 37 3 3
"107" 122 109 3.5 3 4 3 54 1 3
"108" 116 116 2.5 4 4 4 37 2 5
"109" 126 121 4 4 3 4 35 5 4
"110" 120 119 1.5 3 3 3 32 4 3
"111" 113 113 4 5 3 5 39 3 4
"112" 104 120 3.5 2 2 4 34 5 2
"113" 111 106 3.5 3 4 5 23 1 3
"114" 119 111 3.5 3 4 4 49 4 5
"115" 120 119 3 4 3 4 37 3 4
"116" 106 117 1.5 4 5 4 27 1 4
"117" 123 113 2 3 5 3 26 3 3
"118" 117 118 3 4 4 4 36 4 4
"119" 115 119 4.5 5 4 4 22 3 4
"120" 115 108 2.5 3 5 5 43 3 5
"121" 119 117 3 2 4 2 22 4 4
"122" 117 121 4 2 4 4 31 1 4
"123" 119 120 4 5 2 4 19 6 3
"124" 105 103 4 7 5 6 53 1 3
"125" 115 118 4 3 5 3 24 2 4
"126" 118 116 5 4 3 2 53 2 5
"127" 117 117 4.5 4 4 2 18 7 4
"128" 113 113 5.5 5 4 4 50 2 3
"129" 118 119 4 2 4 4 21 4 3
"130" 110 116 1 3 3 4 31 4 1
"131" 115 113 4.5 4 3 4 48 1 3
"132" 121 117 4.5 6 5 5 35 4 4
"133" 116 117 4.5 5 3 5 18 3 4
"134" 109 107 4 4 4 3 27 1 4
"135" 119 119 3 4 5 5 63 3 6
"136" 105 105 2.5 4 4 4 23 3 4
"137" 117 115 6 4 5 5 52 3 5
"138" 111 108 3 5 4 4 48 4 5
"139" 115 113 4 3 5 6 86 5 7
"140" 118 111 2 5 4 3 36 5 5
"141" 118 114 2 5 4 4 21 7 4
"142" 105 109 4 4 3 4 55 5 3
"143" 100 112 3 3 5 4 18 3 3
"144" 115 111 4 5 3 5 42 2 3
"145" 115 110 2 4 6 6 28 6 4
"146" 110 111 4 4 4 4 24 6 4
"147" 119 110 2.5 4 4 4 19 4 4
"148" 121 112 5 4 4 4 46 4 5
"149" 121 116 3.5 5 5 4 26 3 4
"150" 114 119 2.5 3 4 6 71 2 6
"151" 110 118 3.5 3 3 5 28 2 2
"152" 115 114 4 3 5 5 26 4 3
"153" 113 110 3 4 4 5 33 2 5
"154" 117 112 2.5 4 3 5 22 4 4
"155" 118 115 3 2 4 5 55 1 5
"156" 127 129 2 4 4 4 31 7 4
"157" 115 116 5 4 3 4 22 5 4
"158" 119 112 3 3 4 4 52 5 3
"159" 117 117 3 4 4 4 21 2 4
"160" 117 118 4 3 3 3 52 1 3
"161" 112 109 5 5 5 4 22 1 4
"162" 111 122 3 5 3 4 21 1 2
"163" 125 121 4 4 4 1 60 5 3
"164" 116 116 4 3 3 5 40 2 5
"165" 111 121 2 5 4 2 23 4 3
"166" 120 119 3.5 5 5 3 38 4 3
"167" 108 113 4 4 5 6 19 5 4
"168" 115 118 4.5 5 6 5 47 3 3
"169" 121 126 3.5 3 3 3 30 2 4
"170" 113 117 2 4 4 4 56 1 5
"171" 113 120 1.5 4 4 4 51 3 5
"172" 115 119 3 4 4 5 36 1 3
"173" 107 111 5 4 3 3 37 2 5
"174" 115 118 3 2 4 4 26 6 4
"175" 118 113 3 6 5 2 34 2 3
"176" 126 125 1.5 5 4 4 44 4 4
"177" 109 112 4.5 4 2 3 32 3 4
"178" 118 115 2.5 4 3 3 52 2 5
"179" 111 112 3 4 4 2 40 2 3
"180" 115 112 3 5 4 5 54 4 6
"181" 118 115 4 3 3 3 38 3 5
"182" 111 124 5 4 2 3 25 2 3
"183" 124 119 4 4 3 4 30 1 4
"184" 111 108 4 2 2 4 32 1 2
"185" 123 113 2 2 3 2 54 1 3
"186" 114 111 3 5 4 4 48 1 3
"187" 107 113 6.5 4 4 5 51 5 5
"188" 117 116 4.5 3 3 3 36 2 4
"189" 112 118 5 3 4 4 33 1 3
"190" 113 105 3 4 5 5 32 3 5
"191" 115 119 3.5 3 4 4 23 1 4
"192" 124 120 6 2 4 5 42 3 5
"193" 109 113 5 4 5 5 63 3 2
"194" 125 117 3 4 3 4 67 1 6
"195" 120 121 4 6 3 7 28 2 4
"196" 113 114 4.5 4 4 4 64 5 6
"197" 116 116 4 4 5 3 32 6 4
"198" 106 112 3.5 3 4 3 22 2 4
"199" 122 121 2.5 4 4 3 20 5 3
"200" 113 118 4.5 3 3 4 84 3 7
"201" 113 119 2.5 4 5 7 49 5 5
"202" 106 118 1.5 5 3 6 29 5 4
"203" 106 109 2 4 4 3 57 2 3
"204" 115 118 5 4 6 5 48 1 3
"205" 130 113 3.5 4 4 5 24 3 3
"206" 122 119 3 5 5 4 31 4 4
"207" 124 113 2 5 5 4 39 1 3
"208" 127 126 5 4 4 4 22 3 3
"209" 118 123 6 6 5 4 25 4 3
"210" 111 111 4 3 3 3 34 2 5
"211" 113 110 3.5 4 4 3 31 2 3
"212" 106 105 4.5 6 6 5 21 3 3
"213" 115 113 2 3 3 5 46 5 3
"214" 105 110 2.5 5 3 2 39 8 1
"215" 115 115 2 3 3 4 18 7 4
"216" 110 112 3.5 4 3 4 21 4 4
"217" 115 117 5 3 4 4 39 5 2
"218" 121 116 2 3 4 5 42 8 5
"219" 114 114 3 4 5 4 31 1 4
"220" 117 117 3 4 3 5 22 5 3
"221" 116 119 4 5 5 4 66 1 6
"222" 115 112 2.5 5 4 5 55 3 3
"223" 124 119 5.5 4 2 3 42 4 5
"224" 116 116 3.5 4 3 5 18 4 2
"225" 121 113 2 5 4 4 39 3 3
"226" 109 113 5 4 4 4 24 5 4
"227" 114 117 2.5 4 4 4 40 2 5
"228" 113 117 5 4 6 5 35 4 2
"229" 114 113 3 4 3 3 26 4 4
"230" 109 117 5 4 5 5 37 1 4
"231" 110 110 5 5 3 4 36 1 5
"232" 111 118 4.5 4 5 4 38 2 4
"233" 124 119 2.5 4 4 3 35 7 4
"234" 113 117 3.5 5 5 5 43 3 5
"235" 108 112 4.5 4 5 3 69 9 3
"236" 115 123 3.5 3 5 4 44 2 4
"237" 109 119 2.5 5 4 4 23 2 3
"238" 114 113 5.5 5 5 3 23 5 4
"239" 111 111 4 5 5 3 66 2 6
"240" 110 114 3.5 2 4 3 40 5 3
"241" 108 112 3.5 4 4 7 62 3 2
"242" 112 107 3.5 4 5 3 23 2 3
"243" 122 127 3 3 2 4 64 4 5
"244" 114 117 3.5 3 3 5 39 2 2
"245" 118 122 2.5 5 4 5 40 3 4
"246" 118 115 4.5 3 3 3 50 4 5
"247" 112 107 4 4 3 3 45 1 5
"248" 125 120 2.5 4 4 5 28 5 4
"249" 117 118 2.5 3 4 1 36 3 4
"250" 116 115 3 4 5 2 33 5 3
"251" 119 110 5.5 4 4 6 57 5 3
"252" 104 116 5.5 4 4 5 38 4 4
"253" 111 107 3.5 6 4 6 40 4 2
"254" 110 109 3.5 2 4 5 29 3 5
"255" 118 117 3.5 5 5 4 38 4 5
"256" 109 114 4.5 4 4 5 24 5 4
"257" 120 117 3 5 4 5 31 3 4
"258" 128 126 4.5 3 4 4 46 3 4
"259" 115 112 3 4 5 3 29 4 4
"260" 124 119 3.5 4 4 4 21 5 4
"261" 127 127 4 4 4 5 40 5 4
"262" 109 113 3.5 3 5 5 28 4 4
"263" 106 109 1 5 4 4 41 6 2
"264" 115 110 1 5 4 4 38 5 5
"265" 104 113 4.5 4 4 5 31 2 4
"266" 117 118 2.5 2 4 5 28 3 4
"267" 106 117 3.5 3 3 4 21 2 3
"268" 116 114 3 4 4 5 52 6 3
"269" 107 115 2.5 3 2 5 25 2 2
"270" 114 116 4.5 4 4 3 36 2 4
"271" 114 110 3.5 5 4 4 42 1 3
"272" 114 110 3 4 4 4 33 6 3
"273" 112 115 7 4 5 4 22 5 4
"274" 109 115 3.5 3 3 3 55 3 2
"275" 108 114 4.5 3 3 3 43 6 5
"276" 117 105 3 4 3 6 40 3 4
"277" 117 115 2.5 6 4 3 24 2 4
"278" 112 114 3.5 2 3 4 24 4 4
"279" 112 116 3 3 4 4 30 3 2
"280" 106 113 4 3 4 4 32 4 4
"281" 113 120 2.5 5 4 6 22 3 3
"282" 114 114 3 5 3 4 42 3 3
"283" 113 117 5.5 6 5 4 41 6 5
"284" 119 125 5.5 5 5 5 54 3 5
"285" 122 106 1.5 5 4 6 23 5 4
"286" 119 110 4.5 6 7 5 22 5 3
"287" 124 121 4.5 3 4 5 55 5 3
"288" 114 118 4.5 4 3 4 18 1 3
"289" 115 128 2.5 5 5 3 42 6 4
"290" 107 114 2.5 4 4 4 89 4 7
"291" 118 117 5.5 2 4 3 38 3 5
"292" 115 108 4.5 5 5 3 23 1 4
"293" 113 120 3.5 5 6 4 23 4 3
"294" 118 116 4.5 2 2 5 57 1 3
"295" 122 120 3.5 5 4 5 34 2 4
"296" 119 125 1.5 4 5 4 25 3 3
"297" 107 108 5 4 4 5 43 3 5
"298" 116 115 3.5 4 5 4 31 1 3
"299" 115 117 3 5 4 4 35 4 4
"300" 116 116 2.5 4 3 4 37 3 5
"301" 113 114 4 3 5 5 38 5 5
"302" 114 112 3 5 3 1 27 4 4
"303" 115 112 4.5 4 4 3 57 4 3
"304" 129 111 2 4 3 4 68 1 5
"305" 119 118 4 4 4 5 30 1 4
"306" 113 115 5.5 4 5 3 28 3 3
"307" 115 119 4.5 4 5 3 59 3 5
"308" 124 109 2 3 3 3 40 3 4
"309" 116 111 4 5 4 5 52 1 5
"310" 106 110 3.5 4 3 4 24 5 3
"311" 117 124 4 4 5 4 22 6 3
"312" 114 106 3.5 5 4 3 59 4 4
"313" 108 111 2.5 4 4 2 33 1 4
"314" 102 112 4 5 3 5 36 7 2
"315" 115 112 4 4 4 4 37 6 5
"316" 112 125 4.5 5 3 5 45 7 4
"317" 114 119 5 5 3 6 58 3 5
"318" 117 113 3 5 5 5 38 5 3
"319" 121 116 2.5 3 5 5 43 2 5
"320" 109 111 4.5 4 3 3 33 5 5
"321" 108 117 4 4 5 5 29 4 4
"322" 116 118 3 7 5 6 22 4 4
"323" 114 114 2.5 3 5 4 48 1 5
"324" 114 116 4 4 3 3 57 2 4
"325" 107 122 4 4 4 2 43 6 2
"326" 115 110 3.5 5 4 4 31 4 5
"327" 105 114 3 4 2 3 41 6 2
"328" 129 121 4.5 4 4 4 21 5 3
"329" 113 106 4.5 4 3 4 34 4 4
"330" 113 115 2.5 3 4 5 20 6 4
"331" 126 123 5 4 4 4 46 2 5
"332" 114 113 3.5 4 4 4 70 3 2
"333" 125 114 2.5 3 5 4 35 1 4
"334" 115 114 4.5 3 4 5 45 5 4
"335" 113 115 2.5 4 5 6 58 8 6
"336" 115 111 4 5 4 3 57 1 3
"337" 110 118 3.5 5 5 4 26 4 4
"338" 113 113 4 4 4 2 45 2 5
"339" 129 119 3 4 5 6 21 5 3
"340" 112 112 2.5 3 3 4 39 1 3
"341" 112 109 2.5 4 6 4 47 4 4
"342" 113 108 3 4 4 2 62 5 3
"343" 110 110 2 2 2 4 57 4 6
"344" 115 111 3 5 4 5 28 2 4
"345" 110 104 3 4 2 5 73 4 3
"346" 113 113 3 3 3 3 42 2 5
"347" 120 126 2.5 3 3 4 20 2 3
"348" 112 111 2 5 4 4 33 2 5
"349" 114 116 2.5 4 3 3 29 1 4
"350" 120 113 3 4 3 3 41 1 3
"351" 114 113 3.5 4 5 5 52 5 2
"352" 114 110 3.5 4 4 6 36 6 5
"353" 103 111 4 4 4 5 49 4 3
"354" 120 119 3 6 3 5 28 2 3
"355" 116 113 3 4 5 6 43 5 3
"356" 117 118 3.5 3 4 3 23 6 3
"357" 115 114 3.5 3 4 5 19 1 4
"358" 112 113 5 1 4 4 41 4 3
"359" 115 116 2 4 3 4 30 4 2
"360" 112 120 2.5 4 5 4 47 2 5
"361" 112 105 4 4 5 4 28 2 5
"362" 117 117 4.5 5 5 4 42 4 5
"363" 122 115 2.5 4 5 4 35 1 4
"364" 111 107 3.5 4 4 5 67 4 3
"365" 118 115 3 5 5 5 29 1 4
"366" 113 120 5 4 5 4 24 7 2
"367" 111 108 3 5 3 4 46 3 5
"368" 114 123 5.5 5 4 4 27 3 3
"369" 118 108 3.5 4 4 4 30 4 4
"370" 119 120 4 4 6 4 22 4 4
"371" 114 119 3 5 5 4 30 3 3
"372" 114 124 3 4 5 4 24 3 3
"373" 110 115 3.5 3 3 3 28 6 4
"374" 120 110 2 4 4 5 43 7 5
"375" 130 116 1 4 5 6 76 7 6
"376" 118 113 4.5 3 3 4 27 3 4
"377" 109 111 3 3 4 4 51 1 5
"378" 115 110 4 5 5 5 29 2 4
"379" 114 116 2 3 3 6 31 1 4
"380" 111 119 3 3 4 4 25 3 4
"381" 118 119 5.5 5 4 4 31 1 4
"382" 121 119 3 3 4 2 20 4 4
"383" 110 106 4.5 5 4 4 34 1 5
"384" 120 114 3.5 5 6 6 28 1 4
"385" 118 113 3.5 2 3 4 22 3 4
"386" 112 118 5 4 3 4 38 4 4
"387" 116 118 3 5 4 3 40 5 3
"388" 115 112 3.5 4 4 6 20 2 4
"389" 111 110 4.5 4 3 4 24 4 4
"390" 111 113 5 4 4 4 43 7 5
"391" 120 117 4 5 6 5 54 3 5
"392" 115 124 3.5 3 4 6 18 4 3
"393" 113 102 4 3 4 3 69 3 3
"394" 116 116 4.5 4 4 5 76 6 3
"395" 119 116 3 4 4 4 25 6 4
"396" 113 116 3 5 4 4 31 4 3
"397" 115 118 3.5 3 2 4 37 4 4
"398" 107 109 3.5 4 4 5 38 5 3
"399" 106 110 4.5 3 4 4 23 1 4
"400" 117 122 1.5 4 5 5 28 1 4
"401" 127 123 5.5 4 5 4 37 4 4
"402" 109 114 5.5 3 3 4 23 1 3
"403" 120 124 3.5 5 5 4 20 3 3
"404" 116 114 4.5 4 4 4 29 3 3
"405" 116 119 6 5 6 4 38 4 4
"406" 122 116 3.5 5 4 6 44 5 3
"407" 111 110 4 5 4 3 55 2 6
"408" 115 117 4 2 3 4 23 3 4
"409" 119 117 5.5 4 4 4 26 3 4
"410" 110 121 3.5 4 4 5 62 2 5
"411" 112 114 2.5 5 4 7 39 5 5
"412" 111 119 3 3 3 5 57 3 5
"413" 111 121 2.5 3 5 6 42 2 3
"414" 114 118 3 4 4 5 20 1 2
"415" 118 113 4 5 5 4 45 4 5
"416" 115 119 4 3 3 4 75 7 6
"417" 117 113 3.5 6 5 5 65 3 3
"418" 109 113 4.5 4 3 4 41 1 5
"419" 117 121 3.5 2 2 5 18 2 3
"420" 119 118 5 6 4 3 19 1 3
"421" 104 107 3 4 4 4 40 1 3
"422" 123 108 3 5 5 3 26 7 3
"423" 117 119 2.5 3 5 3 31 1 4
"424" 109 106 2 3 2 4 22 6 4
"425" 122 119 4 5 5 4 35 3 3
"426" 103 112 4 3 3 5 26 4 4
"427" 116 115 4.5 3 4 3 57 5 3
"428" 113 108 3 5 4 5 30 3 3
"429" 120 109 4 5 4 4 52 4 2
"430" 116 118 3.5 3 1 5 28 3 4
"431" 113 121 3.5 4 4 5 41 4 3
"432" 107 115 4.5 4 4 5 19 2 1
"433" 118 123 2 2 3 4 56 4 5
"434" 119 121 3 2 3 4 41 4 3
"435" 120 120 3 3 4 4 39 2 4
"436" 114 117 4 4 4 5 38 2 5
"437" 121 121 3 4 4 5 44 4 3
"438" 111 112 2.5 4 4 4 31 1 4
"439" 125 120 2.5 4 3 6 19 3 3
"440" 122 111 4.5 5 4 6 47 2 3
"441" 111 118 5 3 3 4 54 5 2
"442" 116 119 3.5 5 4 4 42 2 5
"443" 117 109 4.5 5 4 3 32 3 4
"444" 118 125 4 4 3 4 48 5 4
"445" 118 118 3 6 5 3 43 2 5
"446" 121 124 5.5 5 4 2 25 2 4
"447" 108 106 3 5 5 5 23 4 4
"448" 113 114 4.5 5 4 5 30 1 4
"449" 108 111 4 4 4 4 25 3 3
"450" 113 118 3 3 3 4 51 2 5
"451" 116 115 3.5 4 2 3 30 2 2
"452" 115 114 3 3 2 3 56 4 6
"453" 128 112 3.5 3 4 6 65 5 5
"454" 118 112 5.5 4 4 3 27 5 3
"455" 111 114 3 5 4 3 36 5 5
"456" 105 107 3.5 5 4 2 19 2 4
"457" 114 113 1.5 5 4 4 25 5 4
"458" 112 113 4 5 4 4 32 1 4
"459" 118 110 3.5 4 6 6 43 1 5
"460" 113 117 3.5 4 5 5 49 5 3
"461" 113 112 3.5 3 3 3 51 4 4
"462" 113 122 5 6 5 5 69 1 3
"463" 113 114 5 2 5 4 36 1 3
"464" 114 107 4.5 5 6 2 63 4 4
"465" 109 116 3.5 5 4 4 82 5 6
"466" 115 100 1.5 6 5 5 42 3 5
"467" 107 107 3.5 5 5 4 20 5 4
"468" 120 126 3.5 5 4 5 31 3 3
"469" 114 112 4 5 4 6 34 4 2
"470" 116 108 3.5 4 4 3 51 1 2
"471" 115 116 4.5 5 6 6 36 2 3
"472" 118 107 2 3 4 4 32 6 4
"473" 123 119 3.5 4 4 6 28 4 4
"474" 113 116 4 4 4 3 22 4 4
"475" 114 110 5.5 2 2 4 56 2 6
"476" 111 109 2 4 6 4 48 6 4
"477" 118 116 4 3 2 4 43 3 5
"478" 116 110 3.5 4 4 3 21 1 4
"479" 111 113 4.5 4 4 3 31 3 4
"480" 120 120 3.5 5 4 4 45 5 2
"481" 127 126 4.5 4 3 6 39 3 3
"482" 118 107 4 5 3 4 25 5 3
"483" 105 108 2.5 4 3 4 74 5 7
"484" 117 119 4.5 3 2 4 33 4 2
"485" 111 113 2 4 4 4 32 4 4
"486" 118 112 4.5 4 3 6 40 2 4
"487" 120 119 3.5 2 4 4 19 4 4
"488" 124 121 4 3 3 4 38 3 2
"489" 105 113 3.5 3 4 4 37 4 3
"490" 110 120 3.5 5 4 2 33 1 4
"491" 117 122 2.5 3 3 4 72 5 6
"492" 117 120 2.5 5 5 3 48 2 5
"493" 121 116 3.5 6 5 6 27 7 4
"494" 115 115 2.5 3 3 6 76 3 6
"495" 107 114 4.5 4 5 4 46 2 5
"496" 110 115 3.5 5 4 5 18 2 4
"497" 117 115 2 4 3 3 40 2 5
"498" 109 113 3.5 4 5 5 30 3 4
"499" 117 114 5 4 4 3 19 2 4
"500" 112 110 3 4 5 4 33 4 5
"501" 118 118 3.5 5 5 3 31 7 4
"502" 112 115 5.5 5 4 3 31 3 3
"503" 110 109 4.5 4 4 3 23 2 4
"504" 114 121 4.5 6 5 3 29 3 4
"505" 120 120 3.5 5 6 4 60 2 5
"506" 121 117 4 5 6 2 23 5 4
"507" 122 109 3.5 3 4 3 47 3 5
"508" 116 116 2.5 4 4 4 67 3 3
"509" 126 121 4 4 3 4 23 2 4
"510" 120 119 1.5 3 3 3 20 2 4
"511" 113 113 4 5 3 5 32 4 4
"512" 104 120 3.5 2 2 4 34 5 3
"513" 111 106 3.5 3 4 5 22 3 2
"514" 119 111 3.5 3 4 4 51 1 5
"515" 120 119 3 4 3 4 57 3 5
"516" 106 117 1.5 4 5 4 21 5 3
"517" 123 113 2 3 5 3 49 3 5
"518" 117 118 3 4 4 4 18 2 4
"519" 115 119 4.5 5 4 4 21 2 4
"520" 115 108 2.5 3 5 5 28 3 4
"521" 119 117 3 2 4 2 51 5 5
"522" 117 121 4 2 4 4 55 1 5
"523" 119 120 4 5 2 4 65 3 6
"524" 105 103 4 7 5 6 18 1 4
"525" 115 118 4 3 5 3 95 3 3
"526" 118 116 5 4 3 2 44 5 2
"527" 117 117 4.5 4 4 2 44 7 5
"528" 113 113 5.5 5 4 4 52 5 3
"529" 118 119 4 2 4 4 37 5 1
"530" 110 116 1 3 3 4 18 4 3
"531" 115 113 4.5 4 3 4 29 2 3
"532" 121 117 4.5 6 5 5 74 3 6
"533" 116 117 4.5 5 3 5 48 2 5
"534" 109 107 4 4 4 3 28 4 5
"535" 119 119 3 4 5 5 31 2 4
"536" 105 105 2.5 4 4 4 25 4 4
"537" 117 115 6 4 5 5 46 3 3
"538" 111 108 3 5 4 4 27 6 4
"539" 115 113 4 3 5 6 36 3 5
"540" 118 111 2 5 4 3 35 5 5
"541" 118 114 2 5 4 4 38 5 5
"542" 105 109 4 4 3 4 40 6 5
"543" 100 112 3 3 5 4 28 2 1
"544" 115 111 4 5 3 5 51 4 3
"545" 115 110 2 4 6 6 56 5 6
"546" 110 111 4 4 4 4 69 7 3
"547" 119 110 2.5 4 4 4 30 4 4
"548" 121 112 5 4 4 4 60 3 6
"549" 121 116 3.5 5 5 4 84 2 7
"550" 114 119 2.5 3 4 6 62 3 5
"551" 110 118 3.5 3 3 5 72 2 3
"552" 115 114 4 3 5 5 54 2 5
"553" 113 110 3 4 4 5 28 2 4
"554" 117 112 2.5 4 3 5 43 4 5
"555" 118 115 3 2 4 5 45 2 3
"556" 127 129 2 4 4 4 47 4 4
"557" 115 116 5 4 3 4 32 4 3
"558" 119 112 3 3 4 4 31 1 2
"559" 117 117 3 4 4 4 37 7 5
"560" 117 118 4 3 3 3 25 4 4
"561" 112 109 5 5 5 4 26 3 4
"562" 111 122 3 5 3 4 46 4 4
"563" 125 121 4 4 4 1 21 3 3
"564" 116 116 4 3 3 5 59 2 4
"565" 111 121 2 5 4 2 34 8 4
"566" 120 119 3.5 5 5 3 63 2 6
"567" 108 113 4 4 5 6 18 3 4
"568" 115 118 4.5 5 6 5 31 8 4
"569" 121 126 3.5 3 3 3 28 2 4
"570" 113 117 2 4 4 4 21 4 4
"571" 113 120 1.5 4 4 4 44 2 4
"572" 115 119 3 4 4 5 23 8 4
"573" 107 111 5 4 3 3 39 2 3
"574" 115 118 3 2 4 4 31 5 4
"575" 118 113 3 6 5 2 41 3 3
"576" 126 125 1.5 5 4 4 40 4 4
"577" 109 112 4.5 4 2 3 23 8 3
"578" 118 115 2.5 4 3 3 18 7 3
"579" 111 112 3 4 4 2 39 7 3
"580" 115 112 3 5 4 5 45 3 5
"581" 118 115 4 3 3 3 48 1 5
"582" 111 124 5 4 2 3 51 6 1
"583" 124 119 4 4 3 4 63 6 6
"584" 111 108 4 2 2 4 51 3 6
"585" 123 113 2 2 3 2 29 1 4
"586" 114 111 3 5 4 4 18 5 4
"587" 107 113 6.5 4 4 5 64 3 3
"588" 117 116 4.5 3 3 3 30 2 4
"589" 112 118 5 3 4 4 29 1 4
"590" 113 105 3 4 5 5 20 3 4
"591" 115 119 3.5 3 4 4 47 4 3
"592" 124 120 6 2 4 5 66 4 6
"593" 109 113 5 4 5 5 27 3 4
"594" 125 117 3 4 3 4 52 3 5
"595" 120 121 4 6 3 7 51 1 2
"596" 113 114 4.5 4 4 4 46 3 5
"597" 116 116 4 4 5 3 40 2 5
"598" 106 112 3.5 3 4 3 49 3 4
"599" 122 121 2.5 4 4 3 21 1 3
"600" 113 118 4.5 3 3 4 39 3 4
"601" 113 119 2.5 4 5 7 19 5 3
"602" 106 118 1.5 5 3 6 24 5 3
"603" 106 109 2 4 4 3 28 7 4
"604" 115 118 5 4 6 5 20 2 3
